symbol,afv,rp,fcf_yield,ocf_margin,min_ocf_margin,ocf_margin_volatility,sector_score,geo_score,debt_score,trend_score,vd_score,computed_at,market_cap_billion,country,avg_daily_volume
VET,7.8,5.0,0.3572563,0.4486498,0.37472317,0.11212215,1.0,0.8,0.5,0.0,0.5,2025-09-23 04:43:35.295575,1.187483648,Canada,920668
CALT.MI,7.7760515,4.6760516,0.2824787,0.20824647,0.1647139,0.22843072,0.5,0.6,1.0,0.5,0.5,2025-09-22 14:36:41.595914,1.018617536,Italy,26239
MUR,7.648023,4.848023,0.2113083,0.5260391,0.5070539,0.059814904,1.0,0.8,0.5,0.0,0.5,2025-09-23 00:13:39.608945,3.866605056,United States,2380542
MPCC.OL,7.570519,4.570519,0.2028126,0.6076757,0.5181561,0.10790188,1.0,1.0,0.5,0.0,0.5,2025-09-22 14:53:08.956736,7.920050176,Norway,2915642
SEA1.OL,7.5,5.0,0.21761674,0.35589576,0.3068544,0.13780536,1.0,1.0,0.0,0.0,0.5,2025-09-22 15:03:03.586998,3.3768192,Norway,248217
DLNG,7.399865,4.799865,0.51050407,0.5009221,0.40124002,0.19265553,1.0,0.6,0.0,0.5,0.5,2025-09-22 17:31:49.306620,0.13855456,Greece,35665
GENL.L,7.2963963,4.7963963,0.4010099,0.8264033,0.6810988,0.19891278,1.0,1.0,1.0,0.0,-0.5,2025-09-22 14:44:04.560880,0.174837824,United Kingdom,326770
TALO,7.251707,4.451707,0.24688596,0.40099207,0.33055425,0.17825516,1.0,0.8,0.5,1.0,-0.5,2025-09-23 03:33:38.998516,1.631305856,United States,2637225
REACH.OL,7.2079325,4.2079325,0.22789973,0.4049838,0.31929308,0.16726753,1.0,1.0,0.0,0.5,0.5,2025-09-22 15:00:16.254352,2.118135424,Norway,233998
EQNR.OL,7.1670527,4.6670527,0.28009692,0.2469713,0.1961913,0.22172493,1.0,1.0,0.0,0.0,0.5,2025-09-22 14:41:36.287202,613.423251456,Norway,2531497
EQNR,7.1538982,4.6538982,0.27688524,0.2469713,0.1961913,0.22172493,1.0,1.0,0.0,0.0,0.5,2025-09-22 18:15:02.947469,62.492495872,Norway,3903122
FNM.MI,7.1,5.0,0.476801,0.23351951,0.21969566,0.06820946,1.0,0.6,0.0,0.0,0.5,2025-09-22 14:43:02.798646,0.208753232,Italy,548280
ATKR,7.081943,4.781943,0.2645754,0.19942023,0.1714628,0.11952684,1.0,0.8,0.5,0.0,0.0,2025-09-22 15:21:58.920913,2.029104896,United States,611887
EC.PA,7.004214,3.904214,0.2124026,0.5325498,0.431528,0.18798709,1.0,0.6,1.0,0.0,0.5,2025-09-22 14:40:26.808828,0.789750016,Gabon,592
ENQ.L,7.0,5.0,2.0056555,0.49327865,0.43090126,0.08845585,1.0,1.0,0.0,-0.5,0.5,2025-09-22 14:41:14.938251,0.210817104,United Kingdom,2562656
TEP.PA,7.0,5.0,0.30466038,0.16504793,0.15869512,0.048264183,0.0,1.0,0.0,0.5,0.5,2025-09-22 15:06:54.545241,3.808338944,France,319343
